"","Plot","Latitude","Longitude","HFI","GlobCover","Precip_sum_2013","Soil","Dist_Road_m","Dist_Village_m","Dist_Rivers_m","Dist_PA_m","Dist_Saw_Mills_m","sum_AGB05","sum_AGB09","sum_AGB13","change0509","change0913","change0513"
"1","1",2.04498,16.106,7,160,187.76513671875,483,78,2495,1832,35480,6265,145.855759654065,149.850773537565,178.294806979888,3.99501388349961,28.4440334423233,32.4390473258229
"2","10",2.08507,16.23408,7,40,187.401000976562,483,408,14178,1435,21954,8812,147.621437490825,161.775035073374,325.883820680149,14.1535975825498,164.108785606775,178.262383189325
"3","11",2.1116,16.29487,7,40,191.217834472656,483,296,15740,1235,15521,16183,202.704205072325,220.787066327008,277.182454880507,18.0828612546831,56.3953885534988,74.4782498081819
"4","12",2.11212,16.3239,1,40,190.630874633789,185,65,18173,2717,12433,19201,167.406659616447,176.99309001216,401.475065450249,9.58643039571334,224.481975438089,234.068405833802
"5","13",2.08129,16.33013,1,40,193.069534301758,185,126,20893,2025,12679,18993,253.812083076594,285.579489856369,356.716162545919,31.7674067797754,71.1366726895502,102.904079469326
"6","14",2.06745,16.34928,1,40,193.069534301758,185,1053,23497,2969,11261,20919,276.219593917884,307.607221789507,330.865702765538,31.3876278716225,23.2584809760313,54.6461088476538
"7","15",2.09083,16.36614,1,40,187.870651245117,185,703,23366,3566,8556,23122,270.221320850015,303.352357634935,451.483947869945,33.1310367849196,148.13159023501,181.26262701993
"8","16",2.08586,16.38596,1,40,187.870651245117,185,1198,25508,3367,6712,25207,265.442183932173,279.362399563842,284.033827928132,13.9202156316695,4.67142836428968,18.5916439959591
"9","17",2.20618,16.3149,7,40,187.395324707031,185,32,13429,2574,6236,24064,233.828260085166,229.794641052045,252.455041658306,-4.03361903312106,22.6604006062609,18.6267815731398
"10","18",2.21771,16.34324,1,40,187.395324707031,185,457,16528,2943,2937,27228,204.437273453677,177.275804896639,198.283873486451,-27.161468557038,21.0080685898125,-6.15339996722554
"11","19",2.18937,16.35922,1,40,193.025192260742,185,990,18559,4537,4531,26675,256.496783661564,243.829699131849,278.105285211859,-12.6670845297149,34.2755860800093,21.6085015502944
"12","2",2.03031,16.12972,7,40,187.76513671875,483,605,5570,928,34457,4328,91.8665177764291,98.5095274150794,235.605111808184,6.64300963865031,137.095584393105,143.738594031755
"13","20",2.18951,16.39634,1,160,193.025192260742,185,242,22640,2134,2155,30173,231.143691772144,230.293342919128,289.781638921036,-0.85034885301539,59.4882960019078,58.6379471488924
"14","21",2.25906,16.37973,1,160,187.0947265625,185,4472,21106,2563,0,33313,378.964208133157,395.366364906869,423.291380051228,16.4021567737128,27.9250151443586,44.3271719180714
"15","22",2.29668,16.38734,1,40,187.0947265625,185,8630,23173,2966,0,36863,327.362396198075,346.448180989653,518.730689232136,19.0857847915781,172.282508242483,191.368293034061
"16","23",2.34735,16.32017,1,40,200.256576538086,185,9094,20067,1030,0,37067,275.592712642656,284.92849311148,392.134300625004,9.33578046882394,107.205807513524,116.541587982348
"17","24",2.34383,16.3492,1,40,200.256576538086,185,10857,22185,2488,0,38378,252.208712874739,263.803376859366,345.453362220056,11.594663984627,81.6499853606898,93.2446493453167
"18","25",2.37969,16.37527,1,160,189.525604248047,185,15700,26967,2268,0,43283,256.968539214317,262.237066942435,305.178845424778,5.26852772811776,42.9417784823435,48.2103062104613
"19","26",2.37389,16.39538,1,40,189.525604248047,185,16351,28275,3567,0,44030,233.544510069793,245.311517772964,340.524676856902,11.7670077031711,95.2131590839376,106.980166787109
"20","27",2.40044,16.42745,1,40,190.775360107422,185,20859,32893,2631,0,48519,244.211262938893,252.597693031236,394.666246579961,8.38643009234318,142.068553548725,150.454983641068
"21","28",2.37223,16.4257,1,40,190.559631347656,185,17775,30904,2713,0,45959,345.197746564615,362.30496450161,469.933226398593,17.1072179369947,107.628261896983,124.735479833978
"22","29",2.40245,16.46369,1,40,172.005020141602,185,22175,36277,1669,0,51242,235.664046327941,248.291084875949,296.977986258248,12.6270385480081,48.6869013822995,61.3139399303076
"23","3",1.996472,16.098917,7,40,205.324020385742,483,328,6451,2258,39505,9340,63.9785109915543,63.4513833813105,217.071203368228,-0.527127610243859,153.619819986918,153.092692376674
"24","30",2.37152,16.47351,1,40,177.893707275391,185,19476,35412,1531,0,49469,313.368423596682,321.493789477251,347.182984014424,8.1253658805698,25.689194537173,33.8145604177428
"25","4",1.990667,16.158472,7,40,196.734146118164,483,578,10694,1830,34121,6836,164.488400639677,163.307685618171,306.632326827096,-1.18071502150556,143.324641208925,142.143926187419
"26","5",2.00209,16.20204,7,40,186.987457275391,483,620,14183,2073,29165,7138,257.523717451027,280.3038992967,284.816427431843,22.780181845673,4.51252813514304,27.2927099808161
"27","6",1.989389,16.235806,1,40,195.881408691406,483,248,18189,3838,26434,10783,198.362410230703,214.60834576576,306.786560634884,16.2459355350571,92.1782148691236,108.424150404181
"28","7",2.07798,16.15408,7,40,191.092987060547,483,97,8153,1803,29027,2957,238.848047954424,262.719604493838,335.400142797796,23.8715565394132,72.680538303958,96.5520948433712
"29","8",2.12507,16.17762,7,40,186.363754272461,483,64,8752,1918,23793,8225,124.077237431393,122.871842949917,272.151529798219,-1.20539448147555,149.279686848302,148.074292366826
"30","9",2.11746,16.22086,7,160,185.507522583008,483,680,10307,1345,20488,9740,232.733337547304,240.948843047002,288.878935810753,8.21550549969785,47.9300927637511,56.1455982634489
