Plot,Latitude,Longitude,HFI,GlobCover,Precip_sum_2013,Dist_Road_m,Dist_Village_m,sum_AGB05,sum_AGB09
1,2.04498,16.106,7,160,187.7651367,62664,2495,37177.01157,40777.60956
10,2.08507,16.23408,7,40,187.401001,74309,14178,49314.10704,54514.61384
11,2.1116,16.29487,7,40,191.2178345,80848,15740,73131.13114,80297.37633
12,2.11212,16.3239,1,40,190.6308746,83016,18173,64845.68404,71772.27963
13,2.08129,16.33013,1,40,193.0695343,80992,20893,72431.89558,81305.09064
14,2.06745,16.34928,1,40,193.0695343,81304,23497,78995.42961,88093.33117
15,2.09083,16.36614,1,40,187.8706512,84493,23366,86316.9488,96468.13375
16,2.08586,16.38596,1,40,187.8706512,85474,25508,73892.06909,83298.83144
17,2.20618,16.3149,7,40,187.3953247,90408,13429,59114.19258,64122.08671
18,2.21771,16.34324,1,40,187.3953247,93342,16528,42848.61425,46881.04465
19,2.18937,16.35922,1,40,193.0251923,92037,18559,62498.96788,66389.45445
2,2.03031,16.12972,7,40,187.7651367,62651,5570,48210.82424,52816.79206
20,2.18951,16.39634,1,160,193.0251923,94767,22640,70976.19619,77575.19091
21,2.25906,16.37973,1,160,187.0947266,99446,21106,109011.6779,115041.8159
22,2.29668,16.38734,1,40,187.0947266,103251,23173,131984.0663,139340.3531
23,2.34735,16.32017,1,40,200.2565765,103602,20067,105675.509,111691.5406
24,2.34383,16.3492,1,40,200.2565765,105031,22185,85568.01877,89887.87531
25,2.37969,16.37527,1,160,189.5256042,109939,26967,76014.01567,80192.18808
26,2.37389,16.39538,1,40,189.5256042,110674,28275,70934.75958,75285.50931
27,2.40044,16.42745,1,40,190.7753601,115131,32893,94912.50574,99662.47281
28,2.37223,16.4257,1,40,190.5596313,112494,30904,113575.7805,119743.6892
29,2.40245,16.46369,1,40,172.0050201,117701,36277,73353.36965,77763.63074
3,1.996472,16.098917,7,40,205.3240204,57656,6451,44025.03923,48581.06527
30,2.37152,16.47351,1,40,177.8937073,115671,35412,94390.22869,99035.74562
4,1.990667,16.158472,7,40,196.7341461,60906,10694,61736.07936,65376.99509
5,2.00209,16.20204,7,40,186.9874573,64933,14183,70773.35389,78806.03267
6,1.989389,16.235806,1,40,195.8814087,66396,18189,68482.00645,74490.19725
7,2.07798,16.15408,7,40,191.0929871,68552,8153,88260.05481,96718.68012
8,2.12507,16.17762,7,40,186.3637543,74355,8752,64078.96935,68494.15842
9,2.11746,16.22086,7,160,185.5075226,76313,10307,74360.12713,78699.28149
