Tree ID,Tag No,Plot,Subplot,Family,Species,Tree Notes,WD,DBH0_05,DBH1_05,DBH2_05,DBH3_05,DBH4_05,DBH0_09,DBH1_09,DBH2_09,DBH3_09,DBH4_09,DBH0_13,DBH1_13,DBH2_13,DBH3_13,DBH4_13,Census Notes
387117,11267,1,25,Indet,Indet indet,,0.5020669,,,,,,116,116,116,116,116,134,134,134,134,134,
387118,11268,1,0,Indet,Indet indet,,0.5020669,,,,,,104,104,104,104,104,0,0,0,0,0,
387119,11269,1,6,Indet,Indet indet,,0.5020669,,,,,,110,110,110,110,110,153,153,153,153,153,
387120,11270,1,9,Indet,Indet indet,,0.5020669,,,,,,118,118,118,118,118,157,157,157,157,157,
387121,11271,1,17,Indet,Indet indet,,0.5020669,,,,,,121,121,121,121,121,168,168,168,168,168,
387122,11272,1,14,Clusiaceae,Garcinia punctata,,0.824,,,,,,108,108,108,108,108,130,130,130,130,130,
387123,11273,1,15,Indet,Indet indet,,0.5020669,,,,,,110,110,110,110,110,115,115,115,115,115,
387124,11274,1,14,Indet,Indet indet,,0.5020669,,,,,,104,104,104,104,104,105,105,105,105,105,
387125,11275,1,17,Indet,Indet indet,,0.5020669,,,,,,100,100,100,100,100,102,102,102,102,102,
387126,11276,1,0,Indet,Indet indet,,0.5020669,,,,,,125,125,125,125,125,0,0,0,0,0,
387127,11277,1,0,Indet,Indet indet,,0.5020669,,,,,,107,107,107,107,107,0,0,0,0,0,
387128,11278,1,4,Indet,Indet indet,,0.5020669,,,,,,103,103,103,103,103,104,104,104,104,104,
387129,11279,1,0,Indet,Indet indet,,0.5020669,,,,,,120,120,120,120,120,0,0,0,0,0,
387130,11280,1,5,Indet,Indet indet,,0.5020669,,,,,,109,109,109,109,109,108,108,108,108,108,Broken at about 8 m
387131,11281,1,4,Indet,Indet indet,,0.5020669,,,,,,130,130,130,130,130,121,121,121,121,121,
387132,11282,1,0,Indet,Indet indet,,0.5020669,,,,,,138,138,138,138,138,0,0,0,0,0,
387133,11283,1,5,Indet,Indet indet,,0.5020669,,,,,,120,120,120,120,120,134,134,134,134,134,
387096,11284,1,16,Indet,Indet indet,,0.5020669,,517,517,517,517,535,535,535,535,535,455,455,455,455,455,D1 was estimated
387134,11317,1,23,Indet,Indet indet,,0.5020669,,,,,,100,100,100,100,100,101,101,101,101,101,
387135,11318,1,23,Indet,Indet indet,,0.5020669,,,,,,117,117,117,117,117,120,120,120,120,120,
387136,11319,1,18,Indet,Indet indet,,0.5020669,,,,,,115,115,115,115,115,107,107,107,107,107,Spined bole
387137,11320,1,12,Indet,Indet indet,,0.5020669,,,,,,100,100,100,100,100,126,126,126,126,126,
387138,11321,1,0,Indet,Indet indet,,0.5020669,,,,,,103,103,103,103,103,0,0,0,0,0,
387139,11322,1,0,Indet,Indet indet,,0.5020669,,,,,,119,119,119,119,119,0,0,0,0,0,
387140,11323,1,20,Indet,Indet indet,,0.5020669,,,,,,120,120,120,120,120,127,127,127,127,127,
386865,3687,1,0,Moraceae,Milicia excelsa,,0.575458333,161,161,161,161,161,0,0,0,0,0,0,0,0,0,0,
386866,3688,1,0,Moraceae,Ficus exasperata,,0.4195,217,217,217,217,217,0,0,0,0,0,0,0,0,0,0,
386867,3689,1,0,Apocynaceae,Rauvolfia caffra,,0.465333333,261,261,261,261,261,262,262,262,262,262,0,0,0,0,0,
386868,3690,1,7,Meliaceae,Trichilia prieuriana,ssp. vermoesenii,0.663,126,126,126,126,126,126,126,126,126,126,134,134,134,134,134,
386869,3691,1,21,Meliaceae,Trichilia rubescens,,0.52025,103,103,103,103,103,103,103,103,103,103,104,104,104,104,104,Broken at about 3.5 m
387097,3692,1,21,Euphorbiaceae,Keayodendron bridelioides,,0.552291361,163,163,163,163,163,170,170,170,170,170,171,171,171,171,171,
386870,3693,1,0,Urticaceae,Musanga cecropioides,,0.242833333,536,536,536,536,536,,558,558,558,558,0,0,0,0,0,
386871,3694,1,0,Euphorbiaceae,Macaranga monandra,,0.41525,146,146,146,146,146,0,0,0,0,0,0,0,0,0,0,
386872,3695,1,21,Fabaceae,Amphimas pterocarpoides,,0.617428571,109,109,109,109,109,109,109,109,109,109,112,112,112,112,112,Broken at about 2.5 m
386873,3696,1,21,Irvingiaceae,Irvingia excelsa,,0.7876875,213,213,213,213,213,217,217,217,217,217,202,202,202,202,202,Broken at about 18 m
386874,3697,1,22,Urticaceae,Myrianthus arboreus,,0.43,606,606,606,606,606,612,612,612,612,612,0,0,0,0,0,
386875,3698,1,22,Meliaceae,Trichilia rubescens,,0.52025,109,109,109,109,109,115,115,115,115,115,0,0,0,0,0,
386876,3699,1,6,Meliaceae,Trichilia welwitschii,,0.52025,100,100,100,100,100,100,100,100,100,100,104,104,104,104,104,
386877,3700,1,20,Malvaceae,Desplatsia dewevrei,,0.474369071,165,165,165,165,165,163,163,163,163,163,166,166,166,166,166,Broken at about 2 m
386878,3801,1,21,Moraceae,Antiaris indet,,0.389647059,,587,587,587,587,608,608,608,608,608,546,546,546,546,546,
386879,3802,1,0,Moraceae,Indet indet,Antiaris indet?,0.539102584,133,133,133,133,133,132,132,132,132,132,0,0,0,0,0,
386880,3803,1,11,Euphorbiaceae,Croton mayumbensis,,0.493345833,234,234,234,234,234,235,235,235,235,235,0,0,0,0,0,
386881,3803,1,11,Euphorbiaceae,Croton mayumbensis,,0.493345833,183,183,183,183,183,186,186,186,186,186,0,0,0,0,0,
386882,3804,1,11,Euphorbiaceae,Croton mayumbensis,,0.493345833,160,160,160,160,160,160,160,160,160,160,0,0,0,0,0,
386883,3805,1,0,Euphorbiaceae,Ricinodendron heudelotii,,0.2106,153,153,153,153,153,0,0,0,0,0,0,0,0,0,0,
386884,3806,1,0,Euphorbiaceae,Croton mayumbensis,,0.493345833,114,114,114,114,114,149,149,149,149,149,0,0,0,0,0,
386885,3807,1,11,Urticaceae,Musanga cecropioides,,0.242833333,736,736,736,736,736,798,798,798,798,798,827,827,827,827,827,One measurment; still-roots
386886,3808,1,11,Anacardiaceae,Lannea welwitschii,var. welwitschii,0.405333333,125,125,125,125,125,142,142,142,142,142,155,155,155,155,155,
386887,3809,1,9,Anacardiaceae,Lannea welwitschii,var. welwitschii,0.405333333,148,148,148,148,148,152,152,152,152,152,161,161,161,161,161,
386888,3810,1,12,Meliaceae,Carapa procera,,0.6042,109,109,109,109,109,111,111,111,111,111,112,112,112,112,112,
386889,3811,1,0,Sapindaceae,Allophylus indet,sp._B_(Harris_2002),0.509,117,117,117,117,117,0,0,0,0,0,0,0,0,0,0,
386890,3812,1,12,Meliaceae,Trichilia welwitschii,,0.52025,148,148,148,148,148,150,150,150,150,150,142,142,142,142,142,
386891,3813,1,12,Rutaceae,Zanthoxylum indet,,0.540326299,748,748,748,748,748,0,0,0,0,0,0,0,0,0,0,
