oid,osm_id,highway,access,start_date,active_years,abandoned_date,abandoned,surface
1,113276828,tertiary,,,,,,
2,113276836,residential,,,,,,
3,113276837,residential,,,,,,
4,113276844,residential,,,,,,
5,113277073,residential,,,,,,
6,113277074,residential,,,,,,
7,113277078,residential,,,,,,
8,125509239,residential,,,,,,
9,125509240,residential,,,,,,
10,125509242,residential,,,,,,
11,125509243,residential,,,,,,
12,125509244,residential,,,,,,
13,125509245,residential,,,,,,
14,125509246,residential,,,,,,
15,125509247,residential,,,,,,
16,125509248,residential,,,,,,
17,125509249,residential,,,,,,
18,125509251,residential,,,,,,
19,125509253,residential,,,,,,
20,125509254,residential,,,,,,
21,125509255,unclassified,,,,,,
22,125509256,residential,,,,,,
23,125509257,residential,,,,,,
24,125509259,residential,,,,,,
25,125509260,residential,,,,,,
26,125509261,residential,,,,,,
27,125509262,residential,,,,,,
28,125509264,tertiary,,,,,,
29,125509265,tertiary,,,,,,
30,125509266,residential,,,,,,
31,125509268,residential,,,,,,
32,125509269,residential,,,,,,
33,125509270,residential,,,,,,
34,125509271,residential,,,,,,
35,125509272,tertiary,,,,,,
36,125509273,tertiary,,,,,,
37,125509275,residential,,,,,,
38,125509276,residential,,,,,,
39,125509280,residential,,,,,,
40,125509282,residential,,,,,,
41,125509284,residential,,,,,,
42,125509285,unclassified,,,,,,
43,125509286,residential,,,,,,
44,125509287,residential,,,,,,
45,125509288,residential,,,,,,
46,125509290,residential,,,,,,
47,125509291,residential,,,,,,
48,125509293,unclassified,,,,,,
49,125509295,residential,,,,,,
50,125509296,residential,,,,,,
51,125509297,residential,,,,,,
52,125509298,residential,,,,,,
53,125509299,residential,,,,,,
54,125509302,residential,,,,,,
55,125509303,residential,,,,,,
56,125509304,tertiary,,,,,,
57,125509305,residential,,,,,,
58,125509306,residential,,,,,,
59,125509307,residential,,,,,,
60,125509308,tertiary,,,,,,
61,125509310,tertiary,,,,,,
62,125509311,residential,,,,,,
63,125509312,residential,,,,,,
64,125509314,residential,,,,,,
65,125509315,tertiary,,,,,,
66,125509318,tertiary,,,,,,
67,125509320,tertiary,,,,,,
68,125509324,residential,,,,,,
69,125509326,residential,,,,,,
70,125509329,residential,,,,,,
71,125509331,residential,,,,,,
72,125509336,residential,,,,,,
73,125509341,residential,,,,,,
74,125509347,residential,,,,,,
75,125509350,residential,,,,,,
76,125509354,residential,,,,,,
77,125509360,residential,,,,,,
78,125509366,residential,,,,,,
79,125509367,residential,,,,,,
80,125509369,residential,,,,,,
81,125509370,residential,,,,,,
82,125509371,residential,,,,,,
83,125509372,unclassified,,,,,,
84,125509373,residential,,,,,,
85,125509376,residential,,,,,,
86,125509379,residential,,,,,,
87,125509381,residential,,,,,,
88,125509382,tertiary,,,,,,
89,125509383,residential,,,,,,
90,125509384,residential,,,,,,
91,125509385,residential,,,,,,
92,125509387,residential,,,,,,
93,125509390,residential,,,,,,
94,125509392,residential,,,,,,
95,125509393,residential,,,,,,
96,125509395,residential,,,,,,
97,125509396,residential,,,,,,
98,125509416,residential,,,,,,
99,125509417,residential,,,,,,
100,125509419,residential,,,,,,
101,125509420,residential,,,,,,
102,125509422,residential,,,,,,
103,125509424,residential,,,,,,
104,125509428,residential,,,,,,
105,125509432,residential,,,,,,
106,125509435,residential,,,,,,
107,125509437,residential,,,,,,
108,125509438,residential,,,,,,
109,125509439,residential,,,,,,
110,125509440,residential,,,,,,
111,125509442,unclassified,,,,,,asphalt
112,125509443,residential,,,,,,
113,125509444,residential,,,,,,
114,125509445,residential,,,,,,
115,125509446,residential,,,,,,
116,125509447,residential,,,,,,
117,125509448,residential,,,,,,
118,125509449,residential,,,,,,
119,125509452,residential,,,,,,
120,125509454,residential,,,,,,
121,125509455,residential,,,,,,
122,125509456,residential,,,,,,
123,125509457,residential,,,,,,
124,125509458,residential,,,,,,
125,125509459,secondary,,,,,,asphalt
126,125509460,residential,,,,,,
127,126016546,residential,,,,,,
128,126016547,residential,,,,,,
129,126016548,residential,,,,,,
130,126016549,residential,,,,,,
131,126016550,residential,,,,,,
132,126016551,residential,,,,,,
133,126016552,residential,,,,,,
134,126016553,residential,,,,,,
135,126016554,residential,,,,,,
136,126016555,residential,,,,,,
137,126016556,residential,,,,,,
138,126016557,residential,,,,,,
139,126016558,residential,,,,,,
140,126016559,tertiary,,,,,,
141,126016560,unclassified,,,,,,
142,126016561,unclassified,,,,,,
143,126016562,residential,,,,,,
144,126016563,residential,,,,,,
145,126016564,residential,,,,,,
146,126016565,residential,,,,,,
147,126016566,residential,,,,,,
148,126016567,residential,,,,,,
149,126016568,residential,,,,,,
150,126016569,residential,,,,,,
151,126016570,residential,,,,,,
152,126016571,residential,,,,,,
153,126016572,residential,,,,,,
154,126016573,residential,,,,,,
155,126016574,residential,,,,,,
156,126016576,residential,,,,,,
157,126016577,residential,,,,,,
158,126016578,residential,,,,,,
159,126016579,residential,,,,,,
160,126016580,residential,,,,,,
161,126016581,residential,,,,,,
162,126016582,residential,,,,,,
163,126016583,residential,,,,,,
164,126016584,residential,,,,,,
165,126016585,residential,,,,,,
166,126016586,residential,,,,,,
167,126016587,residential,,,,,,
168,126016588,residential,,,,,,
169,126016589,residential,,,,,,
170,126016590,residential,,,,,,
171,126016591,residential,,,,,,
172,126016592,residential,,,,,,
173,126016593,residential,,,,,,
174,126016594,residential,,,,,,
175,126016595,residential,,,,,,
176,126016596,residential,,,,,,
177,126016599,residential,,,,,,
178,126016600,residential,,,,,,
179,126016601,residential,,,,,,
180,126016602,residential,,,,,,
181,126016603,residential,,,,,,
182,126016604,residential,,,,,,
183,126016605,residential,,,,,,
184,126016606,residential,,,,,,
185,126016607,residential,,,,,,
186,126016608,residential,,,,,,
187,126016609,residential,,,,,,
188,126016610,residential,,,,,,
189,126016611,residential,,,,,,
190,126016612,residential,,,,,,
191,126016613,residential,,,,,,
192,127464651,residential,,,,,,
193,127464652,residential,,,,,,
194,127464653,residential,,,,,,
195,127464654,residential,,,,,,
196,127464655,residential,,,,,,
197,127464656,residential,,,,,,
198,127464657,residential,,,,,,
199,127464658,residential,,,,,,
200,127464659,residential,,,,,,
201,127464660,residential,,,,,,
202,127464661,residential,,,,,,
203,127464662,residential,,,,,,
204,127464663,residential,,,,,,
205,127464664,residential,,,,,,
206,127464665,residential,,,,,,
207,127464666,residential,,,,,,
208,127464667,residential,,,,,,
209,127464668,residential,,,,,,
210,127464669,residential,,,,,,
211,129068878,residential,,,,,,
212,129068879,residential,,,,,,
213,129068881,residential,,,,,,
214,129068882,residential,,,,,,
215,129068883,residential,,,,,,
216,129068884,residential,,,,,,
217,129068885,residential,,,,,,
218,129068886,residential,,,,,,
219,129068887,residential,,,,,,
220,129068888,residential,,,,,,
221,129068889,residential,,,,,,
222,129068891,residential,,,,,,
223,129077673,path,,,,,,
224,129077674,residential,,,,,,
225,129077677,residential,,,,,,
226,129077680,residential,,,,,,
227,129077684,residential,,,,,,
228,129077689,residential,,,,,,
229,129077690,residential,,,,,,
230,129077691,residential,,,,,,
231,129077692,residential,,,,,,
232,129077693,residential,,,,,,
233,129077694,residential,,,,,,
234,129077695,residential,,,,,,
235,129077696,residential,,,,,,
236,129077697,residential,,,,,,
237,129077698,unclassified,,,,,,
238,129077699,residential,,,,,,
239,129077700,residential,,,,,,
240,129077701,residential,,,,,,
241,129077702,residential,,,,,,
242,129077703,residential,,,,,,
243,129077704,residential,,,,,,
244,129077705,residential,,,,,,
245,129077706,residential,,,,,,
246,129077707,residential,,,,,,
247,129077708,residential,,,,,,
248,129077709,residential,,,,,,
249,129077710,residential,,,,,,
250,129077711,residential,,,,,,
251,129077712,residential,,,,,,
252,129077713,residential,,,,,,
253,129077714,residential,,,,,,
254,129077715,residential,,,,,,
255,129077716,residential,,,,,,
256,129077717,residential,,,,,,
257,129077718,residential,,,,,,
258,129077719,residential,,,,,,
259,129077720,residential,,,,,,
260,129077721,residential,,,,,,
261,129077722,residential,,,,,,
262,129077723,residential,,,,,,
263,129077724,unclassified,,,,,,
264,129077725,residential,,,,,,
265,129077726,residential,,,,,,
266,129077727,residential,,,,,,
267,129077728,unclassified,,,,,,
268,129077729,residential,,,,,,
269,129077730,residential,,,,,,
270,129077731,residential,,,,,,
271,129077732,residential,,,,,,
272,129077733,residential,,,,,,
273,129077734,unclassified,,,,,,
274,129077735,residential,,,,,,
275,129077736,unclassified,,,,,,
276,129077737,residential,,,,,,
277,129077738,residential,,,,,,
278,129077739,unclassified,,,,,,
279,129077740,residential,,,,,,
280,129077741,residential,,,,,,
281,129077742,residential,,,,,,
282,129077743,residential,,,,,,
283,129077744,residential,,,,,,
284,129077745,residential,,,,,,
285,129077746,residential,,,,,,
286,129077747,residential,,,,,,
287,129077748,residential,,,,,,
288,129077749,residential,,,,,,
289,129077750,residential,,,,,,
