plot,lat,lon
1,2.04498,16.106
2,2.03031,16.12972
3,1.996472,16.098917
4,1.990667,16.158472
5,2.00209,16.20204
6,1.989389,16.235806
7,2.07798,16.15408
8,2.12507,16.17762
9,2.11746,16.22086
10,2.08507,16.23408
11,2.1116,16.29487
12,2.11212,16.3239
13,2.08129,16.33013
14,2.06745,16.34928
15,2.09083,16.36614
16,2.08586,16.38596
17,2.20618,16.3149
18,2.21771,16.34324
19,2.18937,16.35922
20,2.18951,16.39634
21,2.25906,16.37973
22,2.29668,16.38734
23,2.34735,16.32017
24,2.34383,16.3492
25,2.37969,16.37527
26,2.37389,16.39538
27,2.40044,16.42745
28,2.37223,16.4257
29,2.40245,16.46369
30,2.37152,16.47351
